time,open,high,low,close,volume,is_complete,candle_source
2024-05-13 00:00:00+00:00,"{'units': 314, 'nano': 100000000}","{'units': 315, 'nano': 700000000}","{'units': 314, 'nano': 40000000}","{'units': 314, 'nano': 850000000}",2171246,True,1
2024-05-14 00:00:00+00:00,"{'units': 315, 'nano': 0}","{'units': 318, 'nano': 410000000}","{'units': 313, 'nano': 580000000}","{'units': 318, 'nano': 120000000}",3524732,True,1
2024-05-15 00:00:00+00:00,"{'units': 318, 'nano': 200000000}","{'units': 320, 'nano': 160000000}","{'units': 317, 'nano': 700000000}","{'units': 319, 'nano': 700000000}",2835182,True,1
2024-05-16 00:00:00+00:00,"{'units': 320, 'nano': 0}","{'units': 322, 'nano': 910000000}","{'units': 320, 'nano': 0}","{'units': 322, 'nano': 910000000}",2784722,True,1
2024-05-17 00:00:00+00:00,"{'units': 322, 'nano': 960000000}","{'units': 323, 'nano': 500000000}","{'units': 320, 'nano': 20000000}","{'units': 323, 'nano': 160000000}",2439859,True,1
2024-05-20 00:00:00+00:00,"{'units': 324, 'nano': 0}","{'units': 324, 'nano': 850000000}","{'units': 318, 'nano': 940000000}","{'units': 321, 'nano': 80000000}",3673679,True,1
2024-05-21 00:00:00+00:00,"{'units': 320, 'nano': 880000000}","{'units': 322, 'nano': 230000000}","{'units': 318, 'nano': 0}","{'units': 320, 'nano': 640000000}",3401946,True,1
2024-05-22 00:00:00+00:00,"{'units': 320, 'nano': 800000000}","{'units': 323, 'nano': 100000000}","{'units': 320, 'nano': 800000000}","{'units': 322, 'nano': 930000000}",1865184,True,1
2024-05-23 00:00:00+00:00,"{'units': 322, 'nano': 800000000}","{'units': 324, 'nano': 0}","{'units': 321, 'nano': 230000000}","{'units': 323, 'nano': 540000000}",1786549,True,1
2024-05-24 00:00:00+00:00,"{'units': 323, 'nano': 830000000}","{'units': 324, 'nano': 480000000}","{'units': 319, 'nano': 780000000}","{'units': 321, 'nano': 0}",2659470,True,1
2024-05-27 00:00:00+00:00,"{'units': 321, 'nano': 10000000}","{'units': 321, 'nano': 950000000}","{'units': 315, 'nano': 500000000}","{'units': 317, 'nano': 90000000}",4571296,True,1
2024-05-28 00:00:00+00:00,"{'units': 317, 'nano': 500000000}","{'units': 320, 'nano': 900000000}","{'units': 315, 'nano': 820000000}","{'units': 318, 'nano': 220000000}",3018779,True,1
2024-05-29 00:00:00+00:00,"{'units': 318, 'nano': 250000000}","{'units': 320, 'nano': 400000000}","{'units': 315, 'nano': 920000000}","{'units': 320, 'nano': 380000000}",2298926,True,1
2024-05-30 00:00:00+00:00,"{'units': 320, 'nano': 910000000}","{'units': 321, 'nano': 550000000}","{'units': 316, 'nano': 0}","{'units': 316, 'nano': 630000000}",2700539,True,1
2024-05-31 00:00:00+00:00,"{'units': 316, 'nano': 0}","{'units': 318, 'nano': 490000000}","{'units': 309, 'nano': 800000000}","{'units': 313, 'nano': 110000000}",4920645,True,1
2024-06-03 00:00:00+00:00,"{'units': 313, 'nano': 500000000}","{'units': 315, 'nano': 500000000}","{'units': 305, 'nano': 0}","{'units': 310, 'nano': 950000000}",6186077,True,1
2024-06-04 00:00:00+00:00,"{'units': 310, 'nano': 980000000}","{'units': 316, 'nano': 500000000}","{'units': 308, 'nano': 800000000}","{'units': 316, 'nano': 490000000}",3307024,True,1
2024-06-05 00:00:00+00:00,"{'units': 316, 'nano': 630000000}","{'units': 318, 'nano': 280000000}","{'units': 313, 'nano': 850000000}","{'units': 314, 'nano': 720000000}",2779211,True,1
2024-06-06 00:00:00+00:00,"{'units': 314, 'nano': 700000000}","{'units': 316, 'nano': 450000000}","{'units': 311, 'nano': 150000000}","{'units': 313, 'nano': 80000000}",2832892,True,1
2024-06-07 00:00:00+00:00,"{'units': 313, 'nano': 800000000}","{'units': 320, 'nano': 640000000}","{'units': 312, 'nano': 730000000}","{'units': 319, 'nano': 900000000}",4448343,True,1
2024-06-10 00:00:00+00:00,"{'units': 320, 'nano': 800000000}","{'units': 321, 'nano': 980000000}","{'units': 315, 'nano': 210000000}","{'units': 317, 'nano': 280000000}",2628002,True,1
2024-06-11 00:00:00+00:00,"{'units': 317, 'nano': 500000000}","{'units': 319, 'nano': 840000000}","{'units': 315, 'nano': 880000000}","{'units': 317, 'nano': 800000000}",2006495,True,1
2024-06-13 00:00:00+00:00,"{'units': 305, 'nano': 700000000}","{'units': 317, 'nano': 820000000}","{'units': 304, 'nano': 140000000}","{'units': 317, 'nano': 710000000}",4128086,True,1
2024-06-14 00:00:00+00:00,"{'units': 317, 'nano': 800000000}","{'units': 320, 'nano': 700000000}","{'units': 316, 'nano': 200000000}","{'units': 319, 'nano': 350000000}",2148897,True,1
2024-06-17 00:00:00+00:00,"{'units': 320, 'nano': 0}","{'units': 320, 'nano': 450000000}","{'units': 316, 'nano': 850000000}","{'units': 317, 'nano': 650000000}",1544162,True,1
2024-06-18 00:00:00+00:00,"{'units': 317, 'nano': 650000000}","{'units': 318, 'nano': 0}","{'units': 313, 'nano': 20000000}","{'units': 314, 'nano': 340000000}",2199100,True,1
2024-06-19 00:00:00+00:00,"{'units': 314, 'nano': 380000000}","{'units': 314, 'nano': 780000000}","{'units': 307, 'nano': 510000000}","{'units': 310, 'nano': 700000000}",4218366,True,1
2024-06-20 00:00:00+00:00,"{'units': 310, 'nano': 700000000}","{'units': 314, 'nano': 720000000}","{'units': 306, 'nano': 20000000}","{'units': 314, 'nano': 150000000}",7268693,True,1
2024-06-21 00:00:00+00:00,"{'units': 315, 'nano': 0}","{'units': 316, 'nano': 0}","{'units': 312, 'nano': 600000000}","{'units': 314, 'nano': 140000000}",2911660,True,1
2024-06-24 00:00:00+00:00,"{'units': 314, 'nano': 700000000}","{'units': 319, 'nano': 0}","{'units': 314, 'nano': 140000000}","{'units': 317, 'nano': 250000000}",2944773,True,1
