time,open,high,low,close,volume,is_complete,candle_source
2025-05-09 00:00:00+00:00,"{'units': 143, 'nano': 190000000}","{'units': 143, 'nano': 190000000}","{'units': 143, 'nano': 10000000}","{'units': 143, 'nano': 90000000}",557,True,2
2025-05-09 00:30:00+00:00,"{'units': 143, 'nano': 90000000}","{'units': 143, 'nano': 150000000}","{'units': 143, 'nano': 0}","{'units': 143, 'nano': 90000000}",2226,True,2
2025-05-09 01:00:00+00:00,"{'units': 143, 'nano': 150000000}","{'units': 143, 'nano': 150000000}","{'units': 143, 'nano': 90000000}","{'units': 143, 'nano': 150000000}",118,True,2
2025-05-09 01:30:00+00:00,"{'units': 143, 'nano': 90000000}","{'units': 143, 'nano': 150000000}","{'units': 143, 'nano': 0}","{'units': 143, 'nano': 140000000}",1271,True,2
2025-05-09 02:00:00+00:00,"{'units': 143, 'nano': 0}","{'units': 143, 'nano': 300000000}","{'units': 142, 'nano': 870000000}","{'units': 142, 'nano': 880000000}",1665,True,2
2025-05-09 02:30:00+00:00,"{'units': 142, 'nano': 900000000}","{'units': 143, 'nano': 240000000}","{'units': 142, 'nano': 900000000}","{'units': 143, 'nano': 10000000}",213,True,2
2025-05-09 03:00:00+00:00,"{'units': 142, 'nano': 910000000}","{'units': 143, 'nano': 210000000}","{'units': 142, 'nano': 910000000}","{'units': 143, 'nano': 170000000}",1280,True,2
2025-05-09 03:30:00+00:00,"{'units': 143, 'nano': 170000000}","{'units': 143, 'nano': 270000000}","{'units': 143, 'nano': 0}","{'units': 143, 'nano': 260000000}",1379,True,2
2025-05-09 04:00:00+00:00,"{'units': 143, 'nano': 260000000}","{'units': 143, 'nano': 270000000}","{'units': 142, 'nano': 920000000}","{'units': 142, 'nano': 920000000}",3540,True,2
2025-05-09 04:30:00+00:00,"{'units': 142, 'nano': 920000000}","{'units': 143, 'nano': 100000000}","{'units': 142, 'nano': 920000000}","{'units': 143, 'nano': 80000000}",968,True,2
2025-05-09 05:00:00+00:00,"{'units': 143, 'nano': 80000000}","{'units': 143, 'nano': 210000000}","{'units': 143, 'nano': 10000000}","{'units': 143, 'nano': 140000000}",5027,True,2
2025-05-09 05:30:00+00:00,"{'units': 143, 'nano': 20000000}","{'units': 143, 'nano': 240000000}","{'units': 143, 'nano': 0}","{'units': 143, 'nano': 170000000}",3120,True,2
2025-05-09 06:00:00+00:00,"{'units': 143, 'nano': 10000000}","{'units': 143, 'nano': 600000000}","{'units': 143, 'nano': 10000000}","{'units': 143, 'nano': 500000000}",9919,True,2
2025-05-09 06:30:00+00:00,"{'units': 143, 'nano': 490000000}","{'units': 143, 'nano': 700000000}","{'units': 143, 'nano': 100000000}","{'units': 143, 'nano': 300000000}",12512,True,2
2025-05-09 07:00:00+00:00,"{'units': 143, 'nano': 300000000}","{'units': 143, 'nano': 400000000}","{'units': 143, 'nano': 100000000}","{'units': 143, 'nano': 350000000}",3998,True,2
2025-05-09 07:30:00+00:00,"{'units': 143, 'nano': 350000000}","{'units': 143, 'nano': 500000000}","{'units': 143, 'nano': 100000000}","{'units': 143, 'nano': 180000000}",6497,True,2
2025-05-09 08:00:00+00:00,"{'units': 143, 'nano': 170000000}","{'units': 143, 'nano': 200000000}","{'units': 142, 'nano': 950000000}","{'units': 142, 'nano': 990000000}",14701,True,2
