time,open,high,low,close,volume,is_complete,candle_source
2024-05-13 00:00:00+00:00,"{'units': 313, 'nano': 100000000}","{'units': 315, 'nano': 300000000}","{'units': 312, 'nano': 0}","{'units': 313, 'nano': 100000000}",329202,True,1
2024-05-14 00:00:00+00:00,"{'units': 313, 'nano': 650000000}","{'units': 313, 'nano': 850000000}","{'units': 310, 'nano': 700000000}","{'units': 312, 'nano': 100000000}",220832,True,1
2024-05-15 00:00:00+00:00,"{'units': 312, 'nano': 350000000}","{'units': 313, 'nano': 200000000}","{'units': 311, 'nano': 550000000}","{'units': 313, 'nano': 50000000}",208465,True,1
2024-05-16 00:00:00+00:00,"{'units': 313, 'nano': 250000000}","{'units': 313, 'nano': 500000000}","{'units': 311, 'nano': 200000000}","{'units': 312, 'nano': 600000000}",321160,True,1
2024-05-17 00:00:00+00:00,"{'units': 312, 'nano': 900000000}","{'units': 313, 'nano': 50000000}","{'units': 311, 'nano': 50000000}","{'units': 311, 'nano': 300000000}",278727,True,1
2024-05-20 00:00:00+00:00,"{'units': 311, 'nano': 950000000}","{'units': 312, 'nano': 50000000}","{'units': 309, 'nano': 0}","{'units': 309, 'nano': 700000000}",379169,True,1
2024-05-21 00:00:00+00:00,"{'units': 310, 'nano': 450000000}","{'units': 310, 'nano': 450000000}","{'units': 304, 'nano': 700000000}","{'units': 308, 'nano': 0}",522341,True,1
2024-05-22 00:00:00+00:00,"{'units': 308, 'nano': 50000000}","{'units': 310, 'nano': 450000000}","{'units': 306, 'nano': 50000000}","{'units': 307, 'nano': 550000000}",363299,True,1
2024-05-23 00:00:00+00:00,"{'units': 307, 'nano': 650000000}","{'units': 308, 'nano': 350000000}","{'units': 303, 'nano': 550000000}","{'units': 306, 'nano': 450000000}",472453,True,1
2024-05-24 00:00:00+00:00,"{'units': 306, 'nano': 900000000}","{'units': 308, 'nano': 0}","{'units': 302, 'nano': 50000000}","{'units': 304, 'nano': 100000000}",265887,True,1
2024-05-27 00:00:00+00:00,"{'units': 304, 'nano': 100000000}","{'units': 305, 'nano': 950000000}","{'units': 300, 'nano': 200000000}","{'units': 301, 'nano': 500000000}",410583,True,1
2024-05-28 00:00:00+00:00,"{'units': 301, 'nano': 450000000}","{'units': 304, 'nano': 450000000}","{'units': 299, 'nano': 0}","{'units': 300, 'nano': 850000000}",263662,True,1
2024-05-29 00:00:00+00:00,"{'units': 300, 'nano': 250000000}","{'units': 301, 'nano': 500000000}","{'units': 295, 'nano': 0}","{'units': 299, 'nano': 50000000}",396532,True,1
2024-05-30 00:00:00+00:00,"{'units': 299, 'nano': 400000000}","{'units': 299, 'nano': 950000000}","{'units': 291, 'nano': 750000000}","{'units': 292, 'nano': 950000000}",315762,True,1
2024-05-31 00:00:00+00:00,"{'units': 291, 'nano': 800000000}","{'units': 294, 'nano': 950000000}","{'units': 280, 'nano': 700000000}","{'units': 282, 'nano': 950000000}",453926,True,1
2024-06-03 00:00:00+00:00,"{'units': 283, 'nano': 200000000}","{'units': 289, 'nano': 0}","{'units': 280, 'nano': 500000000}","{'units': 286, 'nano': 900000000}",517697,True,1
