time,open,high,low,close,volume,is_complete,candle_source
2025-02-24 03:00:00+00:00,"{'units': 253, 'nano': 650000000}","{'units': 253, 'nano': 650000000}","{'units': 253, 'nano': 650000000}","{'units': 253, 'nano': 650000000}",124,True,1
2025-02-24 04:00:00+00:00,"{'units': 253, 'nano': 0}","{'units': 255, 'nano': 450000000}","{'units': 252, 'nano': 450000000}","{'units': 255, 'nano': 250000000}",17320,True,1
2025-02-24 05:00:00+00:00,"{'units': 255, 'nano': 250000000}","{'units': 255, 'nano': 350000000}","{'units': 254, 'nano': 0}","{'units': 254, 'nano': 0}",7905,True,1
2025-02-24 06:00:00+00:00,"{'units': 254, 'nano': 50000000}","{'units': 254, 'nano': 900000000}","{'units': 254, 'nano': 0}","{'units': 254, 'nano': 650000000}",4942,True,1
2025-02-24 07:00:00+00:00,"{'units': 254, 'nano': 450000000}","{'units': 255, 'nano': 0}","{'units': 252, 'nano': 800000000}","{'units': 252, 'nano': 950000000}",30342,True,1
2025-02-24 08:00:00+00:00,"{'units': 252, 'nano': 950000000}","{'units': 253, 'nano': 500000000}","{'units': 252, 'nano': 400000000}","{'units': 252, 'nano': 500000000}",25405,True,1
2025-02-24 09:00:00+00:00,"{'units': 252, 'nano': 500000000}","{'units': 253, 'nano': 0}","{'units': 252, 'nano': 50000000}","{'units': 252, 'nano': 900000000}",16861,True,1
2025-02-24 10:00:00+00:00,"{'units': 252, 'nano': 950000000}","{'units': 253, 'nano': 0}","{'units': 251, 'nano': 300000000}","{'units': 251, 'nano': 950000000}",35297,True,1
2025-02-24 11:00:00+00:00,"{'units': 251, 'nano': 950000000}","{'units': 252, 'nano': 600000000}","{'units': 251, 'nano': 500000000}","{'units': 251, 'nano': 500000000}",32998,True,1
2025-02-24 12:00:00+00:00,"{'units': 251, 'nano': 600000000}","{'units': 252, 'nano': 700000000}","{'units': 251, 'nano': 450000000}","{'units': 251, 'nano': 700000000}",50657,True,1
2025-02-24 13:00:00+00:00,"{'units': 251, 'nano': 700000000}","{'units': 251, 'nano': 800000000}","{'units': 250, 'nano': 300000000}","{'units': 250, 'nano': 550000000}",35214,True,1
2025-02-24 14:00:00+00:00,"{'units': 250, 'nano': 550000000}","{'units': 251, 'nano': 500000000}","{'units': 249, 'nano': 850000000}","{'units': 250, 'nano': 750000000}",44134,True,1
2025-02-24 15:00:00+00:00,"{'units': 250, 'nano': 850000000}","{'units': 252, 'nano': 550000000}","{'units': 250, 'nano': 600000000}","{'units': 252, 'nano': 100000000}",15515,True,1
2025-02-24 16:00:00+00:00,"{'units': 252, 'nano': 100000000}","{'units': 253, 'nano': 450000000}","{'units': 251, 'nano': 950000000}","{'units': 252, 'nano': 900000000}",16177,True,1
2025-02-24 17:00:00+00:00,"{'units': 252, 'nano': 900000000}","{'units': 254, 'nano': 400000000}","{'units': 251, 'nano': 300000000}","{'units': 253, 'nano': 950000000}",35133,True,1
2025-02-24 18:00:00+00:00,"{'units': 254, 'nano': 0}","{'units': 254, 'nano': 500000000}","{'units': 254, 'nano': 0}","{'units': 254, 'nano': 200000000}",13341,True,1
2025-02-24 19:00:00+00:00,"{'units': 254, 'nano': 200000000}","{'units': 254, 'nano': 200000000}","{'units': 253, 'nano': 950000000}","{'units': 253, 'nano': 950000000}",5378,True,1
2025-02-24 20:00:00+00:00,"{'units': 253, 'nano': 950000000}","{'units': 254, 'nano': 600000000}","{'units': 253, 'nano': 950000000}","{'units': 254, 'nano': 300000000}",11357,True,1
2025-02-25 03:00:00+00:00,"{'units': 254, 'nano': 750000000}","{'units': 254, 'nano': 750000000}","{'units': 254, 'nano': 750000000}","{'units': 254, 'nano': 750000000}",74,True,1
2025-02-25 04:00:00+00:00,"{'units': 254, 'nano': 750000000}","{'units': 254, 'nano': 750000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 750000000}",6475,True,1
2025-02-25 05:00:00+00:00,"{'units': 253, 'nano': 750000000}","{'units': 253, 'nano': 950000000}","{'units': 253, 'nano': 650000000}","{'units': 253, 'nano': 950000000}",1937,True,1
2025-02-25 06:00:00+00:00,"{'units': 253, 'nano': 950000000}","{'units': 255, 'nano': 0}","{'units': 253, 'nano': 850000000}","{'units': 254, 'nano': 900000000}",21981,True,1
2025-02-25 07:00:00+00:00,"{'units': 254, 'nano': 900000000}","{'units': 255, 'nano': 200000000}","{'units': 253, 'nano': 50000000}","{'units': 253, 'nano': 750000000}",64622,True,1
2025-02-25 08:00:00+00:00,"{'units': 253, 'nano': 750000000}","{'units': 254, 'nano': 500000000}","{'units': 253, 'nano': 450000000}","{'units': 253, 'nano': 550000000}",25710,True,1
2025-02-25 09:00:00+00:00,"{'units': 253, 'nano': 450000000}","{'units': 254, 'nano': 50000000}","{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 250000000}",34920,True,1
2025-02-25 10:00:00+00:00,"{'units': 253, 'nano': 450000000}","{'units': 253, 'nano': 950000000}","{'units': 252, 'nano': 550000000}","{'units': 253, 'nano': 300000000}",43977,True,1
2025-02-25 11:00:00+00:00,"{'units': 253, 'nano': 200000000}","{'units': 254, 'nano': 400000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 600000000}",44491,True,1
2025-02-25 12:00:00+00:00,"{'units': 253, 'nano': 700000000}","{'units': 254, 'nano': 200000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 50000000}",28770,True,1
2025-02-25 13:00:00+00:00,"{'units': 253, 'nano': 50000000}","{'units': 253, 'nano': 350000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 0}",20613,True,1
2025-02-25 14:00:00+00:00,"{'units': 253, 'nano': 0}","{'units': 253, 'nano': 200000000}","{'units': 253, 'nano': 0}","{'units': 253, 'nano': 50000000}",20948,True,1
2025-02-25 15:00:00+00:00,"{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 150000000}","{'units': 252, 'nano': 200000000}","{'units': 252, 'nano': 950000000}",28277,True,1
2025-02-25 16:00:00+00:00,"{'units': 252, 'nano': 500000000}","{'units': 253, 'nano': 100000000}","{'units': 251, 'nano': 900000000}","{'units': 252, 'nano': 650000000}",10559,True,1
2025-02-25 17:00:00+00:00,"{'units': 252, 'nano': 800000000}","{'units': 252, 'nano': 800000000}","{'units': 252, 'nano': 350000000}","{'units': 252, 'nano': 600000000}",4570,True,1
2025-02-25 18:00:00+00:00,"{'units': 252, 'nano': 700000000}","{'units': 253, 'nano': 700000000}","{'units': 252, 'nano': 700000000}","{'units': 253, 'nano': 200000000}",2585,True,1
2025-02-25 19:00:00+00:00,"{'units': 253, 'nano': 200000000}","{'units': 253, 'nano': 650000000}","{'units': 253, 'nano': 150000000}","{'units': 253, 'nano': 500000000}",3841,True,1
2025-02-25 20:00:00+00:00,"{'units': 253, 'nano': 550000000}","{'units': 253, 'nano': 750000000}","{'units': 253, 'nano': 50000000}","{'units': 253, 'nano': 50000000}",3024,True,1
2025-02-26 03:00:00+00:00,"{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 100000000}",1,True,1
2025-02-26 04:00:00+00:00,"{'units': 253, 'nano': 100000000}","{'units': 253, 'nano': 900000000}","{'units': 252, 'nano': 900000000}","{'units': 253, 'nano': 600000000}",1884,True,1
2025-02-26 05:00:00+00:00,"{'units': 253, 'nano': 700000000}","{'units': 253, 'nano': 900000000}","{'units': 253, 'nano': 400000000}","{'units': 253, 'nano': 500000000}",2790,True,1
2025-02-26 06:00:00+00:00,"{'units': 253, 'nano': 550000000}","{'units': 253, 'nano': 800000000}","{'units': 252, 'nano': 450000000}","{'units': 252, 'nano': 600000000}",2682,True,1
2025-02-26 07:00:00+00:00,"{'units': 252, 'nano': 700000000}","{'units': 253, 'nano': 0}","{'units': 251, 'nano': 400000000}","{'units': 253, 'nano': 0}",23614,True,1
2025-02-26 08:00:00+00:00,"{'units': 252, 'nano': 950000000}","{'units': 253, 'nano': 500000000}","{'units': 252, 'nano': 350000000}","{'units': 253, 'nano': 50000000}",20461,True,1
2025-02-26 09:00:00+00:00,"{'units': 253, 'nano': 150000000}","{'units': 253, 'nano': 650000000}","{'units': 251, 'nano': 550000000}","{'units': 252, 'nano': 150000000}",25432,True,1
2025-02-26 10:00:00+00:00,"{'units': 252, 'nano': 300000000}","{'units': 252, 'nano': 400000000}","{'units': 249, 'nano': 700000000}","{'units': 249, 'nano': 950000000}",41587,True,1
2025-02-26 11:00:00+00:00,"{'units': 250, 'nano': 0}","{'units': 251, 'nano': 500000000}","{'units': 249, 'nano': 350000000}","{'units': 250, 'nano': 50000000}",29120,True,1
2025-02-26 12:00:00+00:00,"{'units': 250, 'nano': 150000000}","{'units': 250, 'nano': 550000000}","{'units': 248, 'nano': 150000000}","{'units': 250, 'nano': 150000000}",50055,True,1
2025-02-26 13:00:00+00:00,"{'units': 250, 'nano': 250000000}","{'units': 251, 'nano': 0}","{'units': 248, 'nano': 750000000}","{'units': 250, 'nano': 250000000}",37205,True,1
2025-02-26 14:00:00+00:00,"{'units': 250, 'nano': 250000000}","{'units': 251, 'nano': 100000000}","{'units': 249, 'nano': 750000000}","{'units': 250, 'nano': 400000000}",26758,True,1
