time,open,high,low,close,volume,is_complete,candle_source
2024-05-13 00:00:00+00:00,"{'units': 4363, 'nano': 600000000}","{'units': 4592, 'nano': 200000000}","{'units': 4125, 'nano': 0}","{'units': 4407, 'nano': 0}",4615106,True,1
2024-05-14 00:00:00+00:00,"{'units': 4407, 'nano': 0}","{'units': 4517, 'nano': 400000000}","{'units': 4401, 'nano': 400000000}","{'units': 4489, 'nano': 800000000}",1535883,True,1
2024-05-15 00:00:00+00:00,"{'units': 4491, 'nano': 0}","{'units': 4508, 'nano': 0}","{'units': 4334, 'nano': 0}","{'units': 4355, 'nano': 200000000}",1239697,True,1
2024-05-16 00:00:00+00:00,"{'units': 4344, 'nano': 800000000}","{'units': 4410, 'nano': 600000000}","{'units': 4237, 'nano': 800000000}","{'units': 4361, 'nano': 200000000}",1173963,True,1
2024-05-17 00:00:00+00:00,"{'units': 4350, 'nano': 0}","{'units': 4373, 'nano': 200000000}","{'units': 4257, 'nano': 0}","{'units': 4271, 'nano': 0}",842298,True,1
2024-05-20 00:00:00+00:00,"{'units': 4259, 'nano': 600000000}","{'units': 4300, 'nano': 0}","{'units': 4150, 'nano': 600000000}","{'units': 4196, 'nano': 0}",1221059,True,1
2024-05-21 00:00:00+00:00,"{'units': 4181, 'nano': 200000000}","{'units': 4275, 'nano': 0}","{'units': 4100, 'nano': 200000000}","{'units': 4106, 'nano': 400000000}",1013776,True,1
2024-05-22 00:00:00+00:00,"{'units': 4087, 'nano': 200000000}","{'units': 4297, 'nano': 400000000}","{'units': 4060, 'nano': 0}","{'units': 4234, 'nano': 0}",852829,True,1
2024-05-23 00:00:00+00:00,"{'units': 4233, 'nano': 800000000}","{'units': 4285, 'nano': 0}","{'units': 4180, 'nano': 0}","{'units': 4206, 'nano': 400000000}",463122,True,1
2024-05-24 00:00:00+00:00,"{'units': 4205, 'nano': 0}","{'units': 4275, 'nano': 600000000}","{'units': 4146, 'nano': 0}","{'units': 4189, 'nano': 200000000}",554356,True,1
2024-05-27 00:00:00+00:00,"{'units': 4184, 'nano': 400000000}","{'units': 4399, 'nano': 0}","{'units': 4070, 'nano': 0}","{'units': 4084, 'nano': 0}",758780,True,1
2024-05-28 00:00:00+00:00,"{'units': 4084, 'nano': 0}","{'units': 4186, 'nano': 0}","{'units': 4012, 'nano': 600000000}","{'units': 4038, 'nano': 400000000}",407521,True,1
2024-05-29 00:00:00+00:00,"{'units': 4038, 'nano': 400000000}","{'units': 4098, 'nano': 0}","{'units': 4002, 'nano': 200000000}","{'units': 4051, 'nano': 0}",237947,True,1
2024-05-30 00:00:00+00:00,"{'units': 4050, 'nano': 0}","{'units': 4159, 'nano': 0}","{'units': 4021, 'nano': 200000000}","{'units': 4032, 'nano': 800000000}",344726,True,1
2024-05-31 00:00:00+00:00,"{'units': 4033, 'nano': 0}","{'units': 4080, 'nano': 0}","{'units': 3939, 'nano': 0}","{'units': 3996, 'nano': 800000000}",471739,True,1
2024-06-03 00:00:00+00:00,"{'units': 4036, 'nano': 0}","{'units': 4070, 'nano': 0}","{'units': 3890, 'nano': 0}","{'units': 4044, 'nano': 400000000}",393757,True,1
2024-06-04 00:00:00+00:00,"{'units': 4045, 'nano': 200000000}","{'units': 4215, 'nano': 600000000}","{'units': 4006, 'nano': 200000000}","{'units': 4177, 'nano': 800000000}",357726,True,1
2024-06-05 00:00:00+00:00,"{'units': 4180, 'nano': 400000000}","{'units': 4250, 'nano': 0}","{'units': 4130, 'nano': 0}","{'units': 4159, 'nano': 200000000}",435992,True,1
2024-06-06 00:00:00+00:00,"{'units': 4180, 'nano': 800000000}","{'units': 4238, 'nano': 0}","{'units': 4151, 'nano': 400000000}","{'units': 4204, 'nano': 200000000}",261280,True,1
2024-06-07 00:00:00+00:00,"{'units': 4229, 'nano': 0}","{'units': 4284, 'nano': 200000000}","{'units': 4210, 'nano': 600000000}","{'units': 4222, 'nano': 0}",329137,True,1
2024-06-10 00:00:00+00:00,"{'units': 4222, 'nano': 0}","{'units': 4248, 'nano': 0}","{'units': 4082, 'nano': 800000000}","{'units': 4125, 'nano': 600000000}",297380,True,1
2024-06-11 00:00:00+00:00,"{'units': 4100, 'nano': 600000000}","{'units': 4140, 'nano': 600000000}","{'units': 4092, 'nano': 0}","{'units': 4102, 'nano': 0}",233821,True,1
2024-06-13 00:00:00+00:00,"{'units': 3980, 'nano': 0}","{'units': 4160, 'nano': 0}","{'units': 3901, 'nano': 0}","{'units': 4048, 'nano': 0}",362747,True,1
2024-06-14 00:00:00+00:00,"{'units': 4048, 'nano': 0}","{'units': 4128, 'nano': 800000000}","{'units': 4030, 'nano': 0}","{'units': 4071, 'nano': 200000000}",330616,True,1
