time,open,high,low,close,volume,is_complete,candle_source
2024-05-12 07:00:00+00:00,"{'units': 4471, 'nano': 0}","{'units': 4495, 'nano': 500000000}","{'units': 4471, 'nano': 0}","{'units': 4483, 'nano': 0}",1015,True,2
2024-05-12 07:15:00+00:00,"{'units': 4483, 'nano': 0}","{'units': 4489, 'nano': 0}","{'units': 4483, 'nano': 0}","{'units': 4485, 'nano': 0}",278,True,2
2024-05-12 07:30:00+00:00,"{'units': 4485, 'nano': 0}","{'units': 4489, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4486, 'nano': 0}",150,True,2
2024-05-12 07:45:00+00:00,"{'units': 4489, 'nano': 0}","{'units': 4490, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4489, 'nano': 500000000}",308,True,2
2024-05-12 08:00:00+00:00,"{'units': 4485, 'nano': 500000000}","{'units': 4490, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4485, 'nano': 0}",498,True,2
2024-05-12 08:15:00+00:00,"{'units': 4485, 'nano': 0}","{'units': 4490, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4485, 'nano': 500000000}",202,True,2
2024-05-12 08:30:00+00:00,"{'units': 4485, 'nano': 500000000}","{'units': 4493, 'nano': 0}","{'units': 4485, 'nano': 0}","{'units': 4487, 'nano': 500000000}",940,True,2
2024-05-12 08:45:00+00:00,"{'units': 4487, 'nano': 500000000}","{'units': 4492, 'nano': 500000000}","{'units': 4487, 'nano': 500000000}","{'units': 4492, 'nano': 500000000}",460,True,2
2024-05-12 09:00:00+00:00,"{'units': 4492, 'nano': 500000000}","{'units': 4492, 'nano': 500000000}","{'units': 4485, 'nano': 500000000}","{'units': 4486, 'nano': 0}",402,True,2
2024-05-12 09:15:00+00:00,"{'units': 4491, 'nano': 0}","{'units': 4491, 'nano': 500000000}","{'units': 4485, 'nano': 500000000}","{'units': 4486, 'nano': 0}",524,True,2
2024-05-12 09:30:00+00:00,"{'units': 4486, 'nano': 0}","{'units': 4490, 'nano': 500000000}","{'units': 4485, 'nano': 500000000}","{'units': 4485, 'nano': 500000000}",218,True,2
2024-05-12 09:45:00+00:00,"{'units': 4485, 'nano': 500000000}","{'units': 4490, 'nano': 500000000}","{'units': 4483, 'nano': 500000000}","{'units': 4483, 'nano': 500000000}",296,True,2
2024-05-12 10:00:00+00:00,"{'units': 4483, 'nano': 0}","{'units': 4490, 'nano': 0}","{'units': 4483, 'nano': 0}","{'units': 4486, 'nano': 500000000}",272,True,2
2024-05-12 10:15:00+00:00,"{'units': 4484, 'nano': 0}","{'units': 4487, 'nano': 500000000}","{'units': 4483, 'nano': 500000000}","{'units': 4487, 'nano': 500000000}",302,True,2
2024-05-12 10:30:00+00:00,"{'units': 4483, 'nano': 500000000}","{'units': 4487, 'nano': 0}","{'units': 4483, 'nano': 0}","{'units': 4485, 'nano': 0}",582,True,2
2024-05-12 10:45:00+00:00,"{'units': 4487, 'nano': 0}","{'units': 4488, 'nano': 500000000}","{'units': 4484, 'nano': 0}","{'units': 4485, 'nano': 0}",470,True,2
