time,open,high,low,close,volume,is_complete,candle_source
2024-01-03 00:00:00+00:00,"{'units': 2810, 'nano': 0}","{'units': 2840, 'nano': 500000000}","{'units': 2806, 'nano': 500000000}","{'units': 2825, 'nano': 500000000}",100025,True,1
2024-01-04 00:00:00+00:00,"{'units': 2835, 'nano': 0}","{'units': 2839, 'nano': 500000000}","{'units': 2808, 'nano': 0}","{'units': 2819, 'nano': 500000000}",64028,True,1
2024-01-05 00:00:00+00:00,"{'units': 2826, 'nano': 500000000}","{'units': 2826, 'nano': 500000000}","{'units': 2777, 'nano': 500000000}","{'units': 2805, 'nano': 0}",73359,True,1
2024-01-08 00:00:00+00:00,"{'units': 2805, 'nano': 0}","{'units': 2824, 'nano': 0}","{'units': 2801, 'nano': 0}","{'units': 2819, 'nano': 500000000}",72594,True,1
2024-01-09 00:00:00+00:00,"{'units': 2833, 'nano': 500000000}","{'units': 2890, 'nano': 0}","{'units': 2821, 'nano': 500000000}","{'units': 2874, 'nano': 0}",233873,True,1
2024-01-10 00:00:00+00:00,"{'units': 2880, 'nano': 0}","{'units': 2948, 'nano': 0}","{'units': 2875, 'nano': 0}","{'units': 2907, 'nano': 0}",306759,True,1
2024-01-11 00:00:00+00:00,"{'units': 2907, 'nano': 0}","{'units': 2973, 'nano': 500000000}","{'units': 2883, 'nano': 0}","{'units': 2938, 'nano': 500000000}",282507,True,1
2024-01-12 00:00:00+00:00,"{'units': 2940, 'nano': 500000000}","{'units': 2960, 'nano': 0}","{'units': 2910, 'nano': 0}","{'units': 2931, 'nano': 0}",150930,True,1
2024-01-15 00:00:00+00:00,"{'units': 2979, 'nano': 500000000}","{'units': 3053, 'nano': 0}","{'units': 2969, 'nano': 0}","{'units': 3035, 'nano': 0}",798523,True,1
2024-01-16 00:00:00+00:00,"{'units': 3035, 'nano': 0}","{'units': 3035, 'nano': 0}","{'units': 2898, 'nano': 500000000}","{'units': 2920, 'nano': 500000000}",587018,True,1
2024-01-17 00:00:00+00:00,"{'units': 2922, 'nano': 0}","{'units': 2938, 'nano': 0}","{'units': 2865, 'nano': 0}","{'units': 2917, 'nano': 0}",309832,True,1
2024-01-18 00:00:00+00:00,"{'units': 2922, 'nano': 0}","{'units': 2924, 'nano': 0}","{'units': 2822, 'nano': 500000000}","{'units': 2829, 'nano': 0}",422609,True,1
2024-01-19 00:00:00+00:00,"{'units': 2827, 'nano': 0}","{'units': 2867, 'nano': 500000000}","{'units': 2802, 'nano': 0}","{'units': 2827, 'nano': 500000000}",345485,True,1
2024-01-22 00:00:00+00:00,"{'units': 2830, 'nano': 0}","{'units': 2874, 'nano': 0}","{'units': 2823, 'nano': 500000000}","{'units': 2847, 'nano': 0}",293285,True,1
2024-01-23 00:00:00+00:00,"{'units': 2858, 'nano': 0}","{'units': 2875, 'nano': 0}","{'units': 2779, 'nano': 500000000}","{'units': 2794, 'nano': 500000000}",457258,True,1
2024-01-24 00:00:00+00:00,"{'units': 2796, 'nano': 500000000}","{'units': 2832, 'nano': 0}","{'units': 2751, 'nano': 0}","{'units': 2793, 'nano': 500000000}",337707,True,1
2024-01-25 00:00:00+00:00,"{'units': 2794, 'nano': 0}","{'units': 2809, 'nano': 0}","{'units': 2736, 'nano': 0}","{'units': 2785, 'nano': 0}",340743,True,1
