time,open,high,low,close,volume,is_complete,candle_source
2025-05-13 04:00:00+00:00,"{'units': 3617, 'nano': 0}","{'units': 3623, 'nano': 500000000}","{'units': 3598, 'nano': 0}","{'units': 3615, 'nano': 0}",1607,True,2
2025-05-13 05:00:00+00:00,"{'units': 3615, 'nano': 0}","{'units': 3638, 'nano': 0}","{'units': 3615, 'nano': 0}","{'units': 3630, 'nano': 0}",1364,True,2
2025-05-13 06:00:00+00:00,"{'units': 3634, 'nano': 500000000}","{'units': 3637, 'nano': 500000000}","{'units': 3630, 'nano': 0}","{'units': 3630, 'nano': 500000000}",467,True,2
2025-05-13 07:00:00+00:00,"{'units': 3631, 'nano': 0}","{'units': 3644, 'nano': 500000000}","{'units': 3602, 'nano': 500000000}","{'units': 3633, 'nano': 0}",14025,True,1
2025-05-13 08:00:00+00:00,"{'units': 3634, 'nano': 0}","{'units': 3634, 'nano': 0}","{'units': 3615, 'nano': 0}","{'units': 3619, 'nano': 0}",6795,True,1
2025-05-13 09:00:00+00:00,"{'units': 3622, 'nano': 0}","{'units': 3634, 'nano': 0}","{'units': 3619, 'nano': 0}","{'units': 3632, 'nano': 500000000}",5857,True,1
2025-05-13 10:00:00+00:00,"{'units': 3632, 'nano': 500000000}","{'units': 3636, 'nano': 0}","{'units': 3616, 'nano': 500000000}","{'units': 3636, 'nano': 0}",4644,True,1
2025-05-13 11:00:00+00:00,"{'units': 3636, 'nano': 0}","{'units': 3636, 'nano': 0}","{'units': 3622, 'nano': 500000000}","{'units': 3625, 'nano': 0}",2577,True,1
2025-05-13 12:00:00+00:00,"{'units': 3626, 'nano': 500000000}","{'units': 3627, 'nano': 500000000}","{'units': 3616, 'nano': 0}","{'units': 3620, 'nano': 0}",10976,True,1
2025-05-13 13:00:00+00:00,"{'units': 3619, 'nano': 500000000}","{'units': 3628, 'nano': 500000000}","{'units': 3619, 'nano': 0}","{'units': 3624, 'nano': 0}",1874,True,1
2025-05-13 14:00:00+00:00,"{'units': 3626, 'nano': 500000000}","{'units': 3627, 'nano': 500000000}","{'units': 3610, 'nano': 500000000}","{'units': 3617, 'nano': 0}",4002,True,1
2025-05-13 15:00:00+00:00,"{'units': 3612, 'nano': 500000000}","{'units': 3612, 'nano': 500000000}","{'units': 3600, 'nano': 0}","{'units': 3600, 'nano': 0}",6244,True,1
2025-05-13 16:00:00+00:00,"{'units': 3600, 'nano': 0}","{'units': 3614, 'nano': 0}","{'units': 3600, 'nano': 0}","{'units': 3608, 'nano': 0}",3788,True,1
2025-05-13 17:00:00+00:00,"{'units': 3609, 'nano': 0}","{'units': 3610, 'nano': 0}","{'units': 3590, 'nano': 500000000}","{'units': 3590, 'nano': 500000000}",5494,True,1
2025-05-13 18:00:00+00:00,"{'units': 3590, 'nano': 0}","{'units': 3592, 'nano': 0}","{'units': 3585, 'nano': 0}","{'units': 3591, 'nano': 500000000}",1302,True,1
2025-05-13 19:00:00+00:00,"{'units': 3590, 'nano': 0}","{'units': 3600, 'nano': 0}","{'units': 3589, 'nano': 0}","{'units': 3598, 'nano': 0}",1206,True,1
2025-05-13 20:00:00+00:00,"{'units': 3597, 'nano': 500000000}","{'units': 3601, 'nano': 500000000}","{'units': 3593, 'nano': 0}","{'units': 3600, 'nano': 0}",676,True,1
